@relation checkerboard
@attribute ID real
@attribute DateStored real
@attribute Footsize real
@attribute Height real
@attribute Weight real
@attribute Tailsize real
@attribute AntenasLength real
@attribute BrainVolume real
@attribute NumberOfTeeth real
@attribute class {0, 1}
@data
0,110811,2.2280467,68.74246,?,7.235183,4.9532094,66.38847,9,0
1,110811,8.514788,23.609156,20.330578,0.7605189,3.5946882,46.6482,12,0
2,110811,8.736526,82.99278,19.816355,8.788982,0.9671888,56.938755,12,0
3,110811,13.949974,53.629677,22.686441,13.203728,1.4543539,30.289772,6,0
4,110811,14.553323,22.786272,15.93639,12.3387985,1.9417427,53.393417,14,0
5,110811,13.828708,4.6506824,16.32253,3.402306,4.237854,42.36947,8,0
6,110811,11.033215,19.140816,17.639185,3.3331892,1.1998457,54.075657,13,0
7,110811,11.076838,89.92752,18.945608,1.1081439,4.989606,41.00169,16,0
8,110811,3.2564795,0.18393993,17.732788,14.085688,1.5655186,47.284454,14,0
9,110811,17.957714,69.67942,17.367281,8.205409,1.0486963,28.827282,16,0
10,110811,4.819553,50.59203,16.330427,0.65377325,1.5727651,50.827633,13,0
11,110811,14.773259,56.134975,20.795696,11.536608,2.2945473,51.426273,10,0
12,110811,1.8681729,74.15688,22.95703,13.157707,3.3984485,63.79919,13,0
13,110811,18.20213,4.7264996,18.448904,12.859838,3.7374449,56.39057,6,0
14,110811,9.96006,37.85186,15.430003,14.127695,0.6137505,50.820267,14,0
15,110811,16.973322,35.47941,10.000302,5.5427976,1.5861726,47.270958,14,0
16,110811,8.848081,45.398693,19.030897,10.400473,1.9005978,43.481285,14,0
17,110811,13.140013,87.33391,20.795206,14.703592,2.554861,68.60839,10,0
18,110811,4.903718,61.090023,14.128654,6.1127577,1.3374603,61.452644,6,0
19,110811,0.9097934,19.952965,18.951212,8.206645,0.7073018,66.82027,9,0
20,110811,18.65464,80.50145,24.07661,7.459155,1.7231792,40.666416,13,0
21,110811,1.8038857,42.511635,22.52422,0.21397859,4.5793586,41.2679,13,0
22,110811,5.78899,23.731052,14.596336,4.0959396,4.677992,60.935898,13,0
23,110811,14.859338,67.02958,15.636344,11.87793,4.6687374,51.668854,15,0
24,110811,13.982996,8.933025,15.270469,2.3797846,4.9376745,40.7157,11,0
25,110811,13.65458,54.999672,24.5587,5.240786,2.6362662,?,14,0
26,110811,15.037357,49.166077,15.721072,12.031853,1.3397402,45.390682,10,0
27,110811,8.130159,50.382233,15.951043,11.48012,3.7239556,56.240837,12,0
28,110811,12.061789,3.9561033,11.780477,5.31279,3.4898734,46.428497,16,0
29,110811,8.492838,69.47571,17.798273,13.305585,2.9625144,50.98006,14,0
30,110811,4.8260155,8.4766445,18.981306,6.3830404,0.99230945,41.73379,8,0
31,110811,0.9327042,48.741104,23.927578,8.573659,3.7146049,39.775978,12,0
32,110811,2.8994036,97.879395,20.69226,13.205491,1.4296043,30.757439,15,0
33,110811,10.449274,35.348858,13.570327,3.0413282,3.9800224,49.076073,15,0
34,110811,5.830332,42.061073,13.72937,10.12385,3.985263,40.44122,13,0
35,110811,4.774045,42.033165,12.810505,4.6279488,1.6751049,59.268867,15,0
36,110811,2.3703063,7.0318103,20.559221,6.1202645,2.7169478,58.570522,14,0
37,110811,5.1933265,77.78032,13.123514,9.596503,4.791072,46.88443,16,0
38,110811,16.626722,63.054066,9.795642,1.7195632,2.0084908,48.104477,13,0
39,110811,15.016565,8.9439335,18.735144,7.701222,0.93461543,46.67062,12,0
40,110811,8.032102,66.85014,17.006357,1.5650958,1.655704,50.336403,11,0
41,110811,14.501844,1.5713573,18.577633,8.578033,3.2589495,52.27059,12,0
42,110811,14.146532,55.430107,19.806387,4.842554,0.37397444,253.60027,10,0
43,110811,2.2415817,45.041954,12.40683,5.4775295,1.2046683,49.62765,15,0
44,110811,10.563913,2.4709046,17.784767,11.973243,4.2549014,49.542492,14,0
45,110811,7.327901,59.559433,24.318394,4.8571596,4.787131,37.033844,14,0
46,110811,10.571586,4.681391,17.844717,3.33714,0.8447337,43.9416,10,0
47,110811,14.058527,45.60666,12.916816,11.360068,0.3907308,50.39837,12,0
48,110811,18.716743,85.2169,14.031054,9.218725,0.069125295,44.067818,14,0
49,110811,11.5104885,42.162968,20.96202,7.312517,4.1602974,46.681725,17,0
50,110811,7.062005,23.960775,10.797236,4.6948857,0.1867342,61.091053,?,0
51,110811,4.0003004,22.300213,19.731506,9.07006,1.1159921,53.841145,12,0
52,110811,0.6664026,50.369305,15.930112,3.8043656,0.31844974,51.559364,15,0
53,110811,15.265698,69.71541,12.079334,9.334623,4.060464,46.115173,12,0
54,110811,19.706919,63.58047,17.092033,9.052057,0.8695376,66.9175,13,0
55,110811,9.145437,47.82398,17.636227,14.950406,1.1956499,51.074947,13,0
56,110811,9.659674,76.61559,18.198833,5.109085,4.3387523,47.03533,20,0
57,110811,12.600026,94.22926,21.217867,8.665996,0.12149215,44.383392,10,0
58,110811,18.088717,16.757084,24.294086,4.470952,1.5914756,55.871265,12,0
59,110811,3.107711,47.700214,18.222975,0.9233281,3.5499773,52.76358,10,0
60,110811,6.8442965,52.564323,16.433205,7.831195,2.6631923,46.632065,10,0
61,110811,11.786421,42.230637,16.190113,13.901131,3.6352828,40.1504,10,0
62,110811,1.8514311,59.493607,12.149336,8.016815,1.5551293,42.956657,9,0
63,110811,16.033775,83.319695,20.983212,9.801227,2.2944546,39.44997,12,0
64,110811,19.173416,80.71703,19.410099,3.5143814,1.2856358,32.036003,10,0
65,110811,11.043696,55.30501,10.571251,3.7205431,4.272916,38.767616,15,0
66,110811,5.6639204,87.489,13.016262,10.892084,3.6688948,45.665066,13,0
67,110811,18.249516,95.395744,13.709276,3.3999636,2.9952435,46.587746,11,0
68,110811,15.275136,94.28812,18.48102,4.7931185,2.9068086,54.998768,11,0
69,110811,10.559952,9.994793,17.149836,3.6830924,1.4340308,46.235397,13,0
70,110811,7.9684267,37.965954,15.257008,4.6396456,3.100417,25.207981,13,0
71,110811,9.195673,1.9654512,13.736583,7.6537933,1.3282886,32.005905,15,0
72,110811,7.1777606,87.26321,15.993771,13.744215,2.213955,33.012848,9,0
73,110811,15.000591,23.689293,19.815693,14.150827,4.087718,68.96081,11,0
74,110811,3.9051747,9.307581,18.317692,14.176855,3.857672,55.405415,14,0
75,110811,?,70.0786,17.821142,12.681165,0.630323,54.101055,13,0
76,110811,10.781392,83.08673,15.997311,4.4812255,3.4947886,51.074673,14,0
77,110811,5.6416035,78.14778,15.393263,6.6705475,0.21821111,49.78534,10,0
78,110811,7.8036203,16.393454,23.617702,7.172014,2.3234785,34.599884,12,0
79,110811,9.380564,5.314988,22.83892,4.500602,0.08006573,47.838203,10,0
80,110811,2.9664886,92.36917,17.135117,8.878439,0.13651252,52.660316,13,0
81,110811,6.2687025,17.296202,15.003428,14.886312,3.2386565,54.116203,13,0
82,110811,15.630964,44.525806,11.679489,3.025049,2.919223,50.227062,12,0
83,110811,5.3586864,28.270716,15.892322,13.845893,1.497884,65.21558,9,0
84,110811,18.23,35.00483,20.881016,8.061156,1.8106914,52.471237,101,0
85,110811,11.98297,0.9382129,16.98457,4.8071094,3.9862428,61.610233,12,0
86,110811,2.7885795,89.83644,15.485524,3.4640775,2.3235765,70.19954,11,0
87,110811,14.692445,32.154102,18.994066,11.279804,4.002211,47.33252,12,0
88,110811,12.739727,27.090513,14.339503,11.048994,1.3947588,64.07063,11,0
89,110811,15.053604,21.021152,19.13438,8.00392,3.1619718,36.65264,14,0
90,110811,17.646955,99.06495,25.255844,0.5196145,4.9219837,33.51306,13,0
91,110811,6.4010286,40.631874,17.27211,6.5555296,2.0109892,56.44738,15,0
92,110811,8.697519,58.03597,13.999506,0.68891287,4.930937,45.272827,14,0
93,110811,6.9584236,12.097555,18.097588,0.060364008,0.32835156,35.474335,12,0
94,110811,16.209793,46.59889,14.341513,6.3881154,3.4127097,48.02145,11,0
95,110811,5.182785,10.06617,14.42579,8.925108,3.3264327,37.043236,14,0
96,110811,16.90192,8.256507,16.216253,0.76470315,4.173352,33.059498,10,0
97,110811,0.7527435,12.622863,15.938323,0.35118163,1.8282924,53.34397,9,0
98,110811,8.29788,11.666614,23.265026,8.446577,4.745223,52.319653,13,0
99,110811,3.3135068,45.283092,18.554451,3.8440113,0.2913803,48.345078,12,0
100,110811,0.40092587,82.838585,?,11.919642,2.5241282,58.888714,40,1
101,110811,2.9072273,58.729923,19.650583,2.972745,1.2384886,49.505444,39,1
102,110811,10.643362,43.57323,12.74416,11.429934,2.8166938,68.906204,35,1
103,110811,10.959033,23.013342,16.561255,0.27114004,3.2555244,68.08092,42,1
104,110811,7.1254277,61.568874,15.160825,2.7790394,1.4092412,59.59957,41,1
105,110811,8.755381,17.12094,16.446833,12.399832,2.2205672,55.42351,38,1
106,110811,7.2850394,27.870441,14.195547,2.532928,0.60239196,36.06018,31,1
107,110811,11.5427685,42.14561,17.61695,11.513427,1.8397985,32.26759,38,1
108,110811,4.3940163,90.717514,17.122965,11.409391,0.3949061,44.082375,34,1
109,110811,0.6912732,88.71746,17.622446,11.192873,4.8832817,52.65392,34,1
110,110811,2.6553178,91.35085,20.256464,8.948229,0.64576924,42.167397,38,1
111,110811,13.808774,44.933342,30.819544,1.3142815,0.7371998,33.43158,33,1
112,110811,13.179741,66.96613,19.046906,11.000864,0.59529155,63.18422,36,1
113,110811,13.258135,39.70907,14.231375,5.829893,3.0190368,34.499958,34,1
114,110811,17.74943,8.757341,13.265092,1.1024684,4.083997,47.15364,40,1
115,110811,17.221024,78.2955,16.181555,10.635087,3.038334,58.439575,42,1
116,110811,5.029447,88.87123,13.495857,7.4098225,2.172333,60.62641,37,1
117,110811,14.268448,41.64136,14.32011,0.4873681,0.82802,46.937687,35,1
118,110811,4.7675633,99.098175,16.546902,13.6019335,4.634749,47.742706,40,1
119,110811,12.339489,89.3519,20.147367,9.328969,0.31995803,32.150208,36,1
120,110811,9.526344,76.25365,21.98534,14.948127,2.9784303,48.48891,38,1
121,110811,16.096157,27.183867,17.051414,7.3442163,3.9932287,58.681087,37,1
122,110811,0.6205046,24.458426,21.079788,4.6496425,0.22001028,42.3764,38,1
123,110811,2.813629,74.333885,21.817076,10.656059,4.984807,55.374485,37,1
124,110811,5.1863956,82.90463,19.388794,10.555907,1.6428099,50.740105,39,1
125,110811,16.28162,93.21852,13.926538,10.733131,1.2196654,?,37,1
126,110811,4.689443,29.198391,10.61306,42.302944,1.1526885,56.672234,38,1
127,110811,0.63396096,25.010777,10.086144,0.33946663,1.5909805,50.54664,37,1
128,110811,11.679182,52.999218,13.684127,0.24454594,4.6523314,43.755146,34,1
129,110811,11.589936,7.8893185,18.179522,1.2134967,3.6009884,40.983643,38,1
130,110811,11.230545,82.42956,14.763558,8.831322,0.061811507,55.229355,38,1
131,110811,11.282293,41.772854,18.052551,0.6111762,0.15917927,53.31831,35,1
132,110811,6.2638474,96.60748,16.380516,5.4465804,3.2275236,51.62313,35,1
133,110811,14.663258,3.2537878,22.357256,4.3900843,0.4268989,55.15803,38,1
134,110811,11.814932,11.658817,12.367077,11.192239,4.9820943,46.804432,39,1
135,110811,10.421286,7.5114727,21.28097,8.447104,0.69605917,43.177715,35,1
136,110811,12.330757,84.69436,15.022916,5.6592455,2.0446267,50.04314,37,1
137,110811,7.407728,60.17688,16.178154,3.051755,1.2945399,44.78685,35,1
138,110811,8.194675,40.491493,17.98456,8.376563,3.2836545,52.22433,37,1
139,110811,18.763916,41.436897,19.238129,0.94050676,4.422,40.308064,36,1
140,110811,12.939503,88.99852,20.59813,12.518371,3.1044254,65.91844,39,1
141,110811,10.255663,17.107899,12.802664,14.954394,0.6371975,33.20707,35,1
142,110811,0.9854555,68.283844,17.253878,0.14545351,0.36765724,54.397034,36,1
143,110811,6.763526,76.974525,17.446491,9.512989,3.441555,44.82592,37,1
144,110811,7.2438564,17.181164,18.08661,4.1893673,4.298652,57.511242,35,1
145,110811,11.443602,59.381176,21.223013,7.3222866,2.033577,31.200987,37,1
146,110811,4.556485,54.635662,16.336473,14.414343,3.3036728,59.555115,39,1
147,110811,5.7650385,32.880062,20.024965,13.412302,1.844877,42.277874,37,1
148,110811,12.694321,18.635088,17.898737,7.7119937,3.4747415,63.58432,37,1
149,110811,5.446844,70.68096,20.634192,7.892155,0.91094077,59.399063,40,1
150,110811,3.5183334,96.61356,20.03417,2.2977571,0.83452404,67.15852,?,1
151,110811,7.2579775,71.7144,27.387781,6.6961813,2.4783885,43.201195,40,1
152,110811,0.90889573,61.344833,20.046373,5.6856537,0.0497216,63.147514,32,1
153,110811,14.711121,53.311325,17.478395,11.074084,0.5053872,41.378914,40,1
154,110811,11.1992855,11.595613,16.251085,2.719252,2.4244118,57.46429,35,1
