@relation SSS
@attribute ID real
@attribute Date real
@attribute FootSize real
@attribute Height real
@attribute Weight real
@attribute TailSize real
@attribute AntennasLength real
@attribute BrainVolume real
@attribute NumberTeeth real
@attribute class {Purple, Red}
@data
0,011111,0.16402711,0.2819531,0.42557508,0.28788778,0.4330545,0.2017392,0.3673594,Red
1,011111,0.12711164,0.30948037,0.42037004,0.29995406,0.45753795,0.21129166,0.37297735,Red
2,011111,0.16724196,0.31698897,0.45913157,0.29892254,0.4573989,0.18375286,0.37481728,Red
3,011111,0.16485138,0.2977407,0.4449156,0.27514184,0.38067713,0.19989194,0.36348873,Red
4,011111,0.13092485,0.31569058,0.4193313,0.29648235,0.4201811,0.21513194,0.4028216,Red
5,011111,0.1630073,0.3024713,0.42887288,0.32028887,0.4180329,0.20027211,0.36835468,Red
6,011111,0.16193676,0.30811188,0.4377009,0.29357886,0.44544646,0.18869139,0.37027475,Red
7,011111,0.17071031,0.2763914,0.42238182,0.29660797,0.40475658,0.1726567,0.38733977,Red
8,011111,0.16975132,0.3328319,0.42724347,0.2786664,0.433528,0.21144769,0.3700673,Red
9,011111,0.16971755,0.34849888,0.4423324,0.28670081,0.42202696,0.17233455,0.3766064,Red
10,011111,0.12251034,0.3017192,0.42540246,0.2797326,0.4527638,0.19836348,0.38441163,Red
11,011111,0.16888207,0.32107052,0.44503418,0.27643943,0.4300307,0.18690957,0.38744467,Red
12,011111,0.15892163,0.3231086,0.4341693,0.28686142,0.41598865,0.18917239,0.37506586,Red
13,011111,0.15507662,0.2934384,0.4198495,0.28249353,0.4071891,0.17092898,0.37647986,Red
14,011111,0.13784237,0.28067,0.4388265,0.27452394,0.42200375,0.17325279,0.39873645,Red
15,011111,0.10484037,0.3301942,0.42782107,0.2807706,0.45101422,0.1886138,0.38790107,Red
16,011111,0.17082371,0.3137447,0.41232163,0.27516666,0.41716936,0.20575966,0.37886733,Red
17,011111,0.1772095,0.31578872,0.4116902,0.28349727,0.4389244,0.17270564,0.38752523,Red
18,011111,0.14749594,0.32279652,0.4054639,0.29195374,0.42791682,0.18266404,0.37358493,Red
19,011111,0.16672231,0.2879046,0.4466301,0.27948937,0.42683038,0.19132265,0.38639572,Red
20,011111,0.15115966,0.30136818,0.43833473,0.28091356,0.4503738,0.18952116,0.37226045,Red
21,011111,0.15263484,0.32160604,0.43123016,0.2788474,0.42631996,0.19587733,0.37308598,Red
22,011111,0.15922494,0.31301358,0.4277806,0.28593138,0.42271185,0.18123677,0.40453354,Red
23,011111,0.15117452,0.32691324,0.41917595,0.28426033,0.39892584,0.18462683,0.37384558,Red
24,011111,0.17299874,0.30406508,0.43896407,0.27948046,0.39609808,0.2060789,0.36710665,Red
25,011111,0.14501604,0.33526903,0.40977147,0.2873138,0.4369326,0.19239679,0.3743039,Red
26,011111,0.14280683,0.32658565,0.40697438,0.28724575,0.4166193,0.16480006,0.39585498,Red
27,011111,0.15157822,0.30870405,0.40582094,0.31979927,0.44308367,0.1919408,0.37852576,Red
28,011111,0.16685809,0.3202917,0.43453223,0.30687654,0.41926628,0.18765926,0.4037896,Red
29,011111,0.16320884,0.2885317,0.45813307,0.30711016,0.44671166,0.16174245,0.3589792,Red
30,011111,0.16800904,0.32135642,0.42142555,0.26999003,0.42901805,0.22104539,0.38925752,Red
31,011111,0.16481195,0.312312,0.43220326,0.29204372,0.44271126,0.16773655,0.3957382,Red
32,011111,0.14167634,0.30254927,0.4355051,0.2657478,0.40506604,0.1874196,0.3948312,Red
33,011111,0.15563534,0.33329764,0.4164628,0.27387172,0.43873692,0.17312276,0.38481203,Red
34,011111,0.17168418,0.32769862,0.4162807,0.29230335,0.424679,0.17673005,0.35703054,Red
35,011111,0.14888087,0.2946803,0.42432457,0.26752293,0.43879178,0.19499283,0.3891655,Red
36,011111,0.1272275,0.30764258,0.43482575,0.2594474,0.43581048,0.19734041,0.38101637,Red
37,011111,0.15403555,0.323438,0.4092829,0.30167568,0.42199245,0.20819207,0.39670786,Red
38,011111,0.1466228,0.32634428,0.4201163,0.30405024,0.41866556,0.20964082,0.38131666,Red
39,011111,0.14329456,0.30821222,0.4272773,0.28467405,0.432683,0.18481283,0.38522905,Red
40,011111,0.17360945,0.29221886,0.43074083,0.2965234,0.43894187,0.18860789,0.38407755,Red
41,011111,0.15591018,0.3182238,0.41108385,0.2831,0.43695027,0.16913159,0.368206,Red
42,011111,0.15209576,0.31020963,0.4169493,0.26630226,0.4347348,0.19702557,0.38925824,Red
43,011111,0.1303918,0.2918758,0.44580022,0.30308947,0.39093208,0.1885187,0.3541534,Red
44,011111,0.15542741,0.3118279,0.41982412,0.27624688,0.40659368,0.20013843,0.38496277,Red
45,011111,0.14561436,0.29957604,0.43430752,0.27235895,0.44907317,0.17862064,0.3960634,Red
46,011111,0.15697064,0.31874335,0.4473091,0.2922901,0.43626848,0.20264821,0.35640916,Red
47,011111,0.13919109,0.324633,0.4185062,0.25320792,0.42910436,0.164554,0.3898505,Red
48,011111,0.1441675,0.28175744,0.42913446,0.24501693,0.42450806,0.17045008,0.40990004,Red
49,011111,0.14613855,0.3110766,0.4299721,0.30561993,0.43362337,0.19350448,0.38426125,Red
50,011111,0.14421037,0.3155352,0.409703,0.2931972,0.44300666,0.1937534,0.36317855,Red
51,011111,0.12692744,0.2957554,0.4473474,0.2860082,0.426799,0.16080388,0.37805942,Red
52,011111,0.13876754,0.29131177,0.43397614,0.29172772,0.4033476,0.18303464,0.40074676,Red
53,011111,0.16678663,0.32781807,0.40656713,0.29050395,0.43493038,0.18926758,0.3909166,Red
54,011111,0.15379494,0.3002435,0.43764582,0.2621006,0.43045905,0.17132199,0.37373808,Red
55,011111,0.16134581,0.28982496,0.43553147,0.27313057,0.4368516,0.18993658,0.37812495,Red
56,011111,0.1570151,0.31231165,0.4474845,0.29737306,0.39533666,0.17350198,0.37068492,Red
57,011111,0.16430669,0.3179881,0.42626634,0.29095995,0.4347915,0.17598166,0.40160924,Red
58,011111,0.13512401,0.3146657,0.42221355,0.3171643,0.4136941,0.18893388,0.38383234,Red
59,011111,0.15899345,0.293797,0.43687406,0.2658596,0.43761447,0.21759251,0.38337275,Red
60,011111,0.14591652,0.31705907,0.43587774,0.30082178,0.44337416,0.18424551,0.40511194,Red
61,011111,0.15363567,0.28343222,0.41354808,0.27870804,0.44199702,0.19311197,0.4013988,Red
62,011111,0.12920296,0.32462776,0.4769932,0.26277757,0.4062162,0.18314882,0.38279578,Red
63,011111,0.15732798,0.30334586,0.42269304,0.27474388,0.42751205,0.20996723,0.35891208,Red
64,011111,0.13039625,0.31717324,0.42915598,0.25971547,0.44287208,0.1967986,0.38266277,Red
65,011111,0.15614958,0.33098286,0.42771503,0.28950334,0.42691666,0.16221419,0.3769584,Red
66,011111,0.17712188,0.29088292,0.43515232,0.2756198,0.42021188,0.18905988,0.39156425,Red
67,011111,0.1317695,0.29247096,0.43418536,0.2860945,0.4184387,0.19144711,0.39381078,Red
68,011111,0.16576946,0.289057,0.42989796,0.29217514,0.4556412,0.19584344,0.36454034,Red
69,011111,0.1563356,0.2986533,0.42917326,0.25603127,0.4118119,0.19850613,0.39940187,Red
70,011111,0.13995314,0.30035195,0.4217517,0.28242487,0.44095442,0.20122093,0.37744427,Red
71,011111,0.1603608,0.3155507,0.4359809,0.29987863,0.44884875,0.21142693,0.3630228,Red
72,011111,0.1698065,0.331033,0.43179867,0.26972702,0.42486614,0.1926087,0.3928227,Red
73,011111,0.1681645,0.28974783,0.4265759,0.27389324,0.4264973,0.17864901,0.36951,Red
74,011111,0.15454349,0.30853972,0.42864975,0.2834775,0.4414132,0.16171136,0.3831034,Red
75,011111,0.12972702,0.2914596,0.42689916,0.31612352,0.42190805,0.19314736,0.3870334,Red
76,011111,0.14015493,0.29711112,0.43586963,0.27349797,0.44472036,0.18346235,0.37254402,Red
77,011111,0.15176827,0.3069227,0.46006635,0.28347883,0.42527568,0.19735181,0.3645443,Red
78,011111,0.1577672,0.29969215,0.40803945,0.29164118,0.41605693,0.17279978,0.40364277,Red
79,011111,0.148473,0.31080222,0.40884706,0.27706477,0.42551887,0.18387166,0.39345586,Red
80,011111,0.13785271,0.31641924,0.43063056,0.2817972,0.43064925,0.20754692,0.378683,Red
81,011111,0.1667357,0.29466304,0.44167554,0.25660202,0.43914634,0.16883495,0.3905228,Red
82,011111,0.13950188,0.303763,0.45456314,0.26247615,0.44318315,0.16803549,0.37482584,Red
83,011111,0.16514786,0.32245123,0.45427942,0.28046906,0.4367415,0.1711414,0.38439026,Red
84,011111,0.15483426,0.30687925,0.4496132,0.2880757,0.43785554,0.20163383,0.38648927,Red
85,011111,0.15637974,0.33118227,0.41059896,0.27331257,0.45198986,0.16665924,0.39546725,Red
86,011111,0.14481992,0.31072664,0.4259141,0.27548426,0.4334955,0.19050051,0.3938629,Red
87,011111,0.16436277,0.29720256,0.4544433,0.30722877,0.41334975,0.16997957,0.38875628,Red
88,011111,0.1585802,0.31049368,0.4175512,0.25166497,0.4204773,0.18112695,0.37497875,Red
89,011111,0.15541781,0.29712638,0.4286692,0.29560274,0.44947603,0.19950613,0.38402203,Red
90,011111,0.13927293,0.31217507,0.44328213,0.2801125,0.40154994,0.18890704,0.35933378,Red
91,011111,0.11523459,0.30558863,0.43799236,0.2786245,0.41801074,0.17156045,0.42999947,Red
92,011111,0.15645538,0.31155878,0.44647646,0.26757875,0.435621,0.17657003,0.36721703,Red
93,011111,0.16172598,0.32531705,0.40510923,0.32228786,0.41712368,0.19420916,0.3798686,Red
94,011111,0.13644342,0.2746528,0.4311374,0.27611643,0.4471338,0.1696942,0.39696094,Red
95,011111,0.14937305,0.31702656,0.4431217,0.29021832,0.4516815,0.21621445,0.37365934,Red
96,011111,0.13916476,0.30581778,0.41881168,0.27413934,0.44906947,0.19939947,0.38823858,Red
97,011111,0.15806687,0.31170005,0.41490668,0.27942315,0.4145184,0.17840044,0.38475254,Red
98,011111,0.1589385,0.30098116,0.4191843,0.28300896,0.4301736,0.19535887,0.36413425,Red
99,011111,0.13781996,0.3178268,0.4453026,0.2922042,0.44619977,0.21457401,0.38621962,Red
100,011111,0.6260012,0.59531087,0.6986667,0.90953207,0.5147567,0.6929207,0.7756009,Purple
101,011111,0.66134465,0.59693617,0.69918734,0.91972864,0.53153396,0.6753813,0.77919835,Purple
102,011111,0.63238496,0.6187647,0.71840614,0.9311533,0.52227736,0.7001684,0.74599385,Purple
103,011111,0.6435483,0.58565253,0.70856315,0.9415797,0.50704324,0.6502797,0.76909685,Purple
104,011111,0.6440539,0.60333776,0.70766217,0.9214391,0.49816456,0.67545205,0.7672871,Purple
105,011111,0.6234205,0.6111242,0.6952919,0.88767064,0.5140606,0.6714953,0.7867453,Purple
106,011111,0.6544391,0.5874611,0.69727945,0.9052957,0.51896745,0.67512393,0.7916566,Purple
107,011111,0.64760923,0.59281665,0.72900563,0.9080553,0.47794062,0.66223687,0.78438205,Purple
108,011111,0.6360787,0.60993004,0.71298665,0.9092289,0.4961414,0.681846,0.77830255,Purple
109,011111,0.65480435,0.61070496,0.71148974,0.905568,0.5176231,0.65101683,0.76633406,Purple
110,011111,0.62204313,0.5952408,0.71090734,0.91354483,0.51277715,0.6640153,0.74021363,Purple
111,011111,0.6536287,0.5904698,0.7358444,0.88176465,0.54146546,0.68381125,0.7855099,Purple
112,011111,0.63701105,0.60253274,0.7005246,0.9025954,0.4922772,0.6638266,0.7779447,Purple
113,011111,0.6246589,0.60526174,0.6860424,0.8992159,0.51251966,0.6535908,0.7511569,Purple
114,011111,0.6264615,0.5762792,0.72671056,0.9017559,0.5514082,0.6745351,0.7703129,Purple
115,011111,0.6432784,0.60346,0.6970482,0.9410724,0.5074734,0.63337785,0.77229613,Purple
116,011111,0.6555303,0.5621948,0.6950751,0.90950936,0.5230407,0.66799986,0.76250404,Purple
117,011111,0.6737132,0.5782138,0.7151777,0.93423283,0.51039237,0.70109564,0.7688985,Purple
118,011111,0.63302267,0.61562014,0.7076086,0.9317231,0.49852464,0.6424636,0.7861606,Purple
119,011111,0.6361264,0.58538616,0.6889688,0.90082395,0.5273316,0.662874,0.7826342,Purple
120,011111,0.6495371,0.6032869,0.701538,0.9227965,0.5133856,0.68296826,0.76705885,Purple
121,011111,0.6629193,0.58858943,0.71082854,0.9223452,0.5251008,0.66364187,0.78800267,Purple
122,011111,0.62291485,0.6236498,0.70513016,0.91558963,0.49501333,0.6858423,0.7472867,Purple
123,011111,0.638425,0.5964424,0.72373104,0.8880821,0.505732,0.65290177,0.79413754,Purple
124,011111,0.64585716,0.61236286,0.7227652,0.92473066,0.51654875,0.69241744,0.7758714,Purple
125,011111,0.62907404,0.58176804,0.7280951,0.90882003,0.527266,0.6703488,0.77634215,Purple
126,011111,0.6363201,0.6101966,0.7057688,0.9192527,0.4917722,0.68040496,0.77170414,Purple
127,011111,0.6383558,0.5921186,0.7031123,0.91035014,0.5187315,0.6726158,0.7766159,Purple
128,011111,0.658005,0.6042531,0.6942154,0.91818416,0.51938105,0.6947392,0.75357854,Purple
129,011111,0.636276,0.6032501,0.72134966,0.88782656,0.5391292,0.6592335,0.75549114,Purple
130,011111,0.6570377,0.59669787,0.69602495,0.91396636,0.53030425,0.6706467,0.787635,Purple
131,011111,0.65039635,0.6035768,0.70467985,0.8895481,0.5359039,0.69396406,0.7402305,Purple
132,011111,0.63761127,0.607374,0.72166705,0.9228047,0.5071291,0.6714761,0.7885309,Purple
133,011111,0.669464,0.5736856,0.71715903,0.91751987,0.48516876,0.638908,0.7813468,Purple
134,011111,0.6451328,0.60673636,0.7017002,0.9163955,0.5181229,0.6739841,0.7467849,Purple
135,011111,0.6237637,0.5706729,0.7176124,0.9225123,0.53132075,0.6499482,0.77403444,Purple
136,011111,0.6550027,0.5926642,0.693505,0.9325696,0.5521954,0.6782038,0.78285986,Purple
137,011111,0.6581076,0.61017454,0.71587163,0.89274436,0.53896177,0.6738829,0.755407,Purple
138,011111,0.6180409,0.5844382,0.7166704,0.9458015,0.54061997,0.6889737,0.7452862,Purple
139,011111,0.6231343,0.6116316,0.71577173,0.9294247,0.5134409,0.6574898,0.748864,Purple
140,011111,0.6381263,0.5820941,0.69211185,0.91188926,0.514618,0.6618195,0.7734946,Purple
141,011111,0.6301477,0.5887749,0.6878175,0.93684644,0.5303277,0.68677616,0.7536525,Purple
142,011111,0.6590411,0.5727092,0.7046194,0.91588604,0.53326786,0.64501417,0.7946712,Purple
143,011111,0.63341177,0.59940505,0.7007491,0.90157086,0.50968784,0.69520175,0.77858347,Purple
144,011111,0.64174294,0.59539217,0.70888805,0.9137884,0.48696798,0.6723314,0.7590035,Purple
145,011111,0.6434623,0.61726516,0.7029126,0.91747904,0.51251805,0.6865294,0.7754847,Purple
146,011111,0.66591966,0.5977435,0.7319469,0.92861694,0.5136385,0.6889832,0.7682347,Purple
147,011111,0.63064665,0.59194195,0.7200786,0.94456184,0.5105435,0.6787675,0.77879435,Purple
148,011111,0.6157411,0.58871907,0.7121246,0.91283673,0.49464726,0.7055002,0.7915565,Purple
149,011111,0.6406862,0.636406,0.71207094,0.921984,0.53936684,0.70326746,0.7672543,Purple
150,011111,0.6364541,0.5925376,0.69934714,0.8933013,0.50352335,0.70196944,0.7639148,Purple
151,011111,0.63423574,0.59197,0.7222428,0.88914657,0.5270746,0.6800294,0.77888846,Purple
152,011111,0.6378705,0.6041698,0.7151105,0.8977936,0.5036278,0.6889411,0.75487643,Purple
153,011111,0.61828667,0.5885382,0.7173545,0.9143144,0.5246792,0.66775876,0.7744295,Purple
154,011111,0.6566602,0.61120856,0.7316882,0.898437,0.52517945,0.6794981,0.75400585,Purple
155,011111,0.6270956,0.6169165,0.68744993,0.9104201,0.5137669,0.6931118,0.78219163,Purple
156,011111,0.66771096,0.5868644,0.7071767,0.94471896,0.5203954,0.6626686,0.78495246,Purple
